Gene.symbol
ABL1
ABCB7
ABL2
ACD
ACVR1
ACVR1B
ADA
ADORA2A
AK2
AKT1
AKT2
AKT3
ALK
ALOX12B
AMER1
ANKRD11
ANKRD26
APC
APOB
AR
ARAF
ARFRP1
arhgef1
ARID1A
ARID1B
ARID2
ARID5B
ASXL1
ASXL2
ATG2B
ATM
ATR
ATRX
AURKA
AURKB
AURKC
AXIN1
AXIN2
AXL
B2M
BAALC
BAP1
BARD1
BBC3
BCL10
BCL11B
BCL2
BCL2L1
BCL2L11
BCL2L2
BCL6
BCL7A
BCOR
BCORL1
BCR
BIRC2
BIRC3
BLM
BMPR1A
BRAF
BRCA1
BRCA2
BRCC3
BRD3
BRD4
BRINP3
BRIP1
BTG1
BTG2
BTK
BUB1B
C11orf30
C15ORF41
CALR
CARD11
CASP8
CBFB
CBL
CBLB
CBLC
CCND1
CCND2
CCND3
CCNE1
CD19
CD22
CD274
CD276
CD28
CD40
CD58
CD70
CD74
CD79A
CD79B
CDAN1
CDC73
CDH1
CDK12
CDK4
CDK6
CDK8
CDKN1A
CDKN1B
CDKN1C
CDKN2A
CDKN2B
CDKN2C
CEBPA
CENPA
CHD2
CHD4
CHEK1
CHEK2
CIC
ciita
cnd2
COL1A1
COL4A3
COL4A4
COL4A5
CREBBP
CRKL
CRLF2
CSF1
CSF1R
CSF2
CSF3
CSF3R
csfr3
CSNK1A1
CTC1
CTCF
CTLA4
CtlP
CTNNA1
CTNNB1
CUL3
CUL4A
CUX1
CXCR2
CXCR4
CYLD
CYP17A1
DAXX
DCUN1D1
DDB2
DDR1
DDR2
DDX11
ddx3x
DDX41
DEK
DHX15
DICER1
DIS3
DKC1
DNAJB1
DNM2
DNMT1
DNMT3A
DNMT3B
DOT1L
e1f2b1
E2F3
ebf1
EED
EGFL7
EGFR
EGLN1
EGR2
EIF1AX
EIF4A2
EIF4E
ELANE
EML4
EP300
EPAS1
EPCAM
EPHA3
EPHA5
EPHA7
EPHB1
EPHB4
epor
ERBB2
ERBB3
ERBB4
ERCC1
ERCC2
ERCC3
ERCC4
ERCC5
ERCC6
ERCC8
ERG
ernk1
ERRFI1
ESR1
ETNK1
ETS1
ETV1
ETV4
ETV5
ETV6
EWSR1
EXO1
EXT1
EXT2
EZH2
FAM123B
FAM175A
FAM46C
FAM5C
FANCA
FANCB
FANCC
FANCD2
FANCE
FANCF
FANCG
FANCI
FANCL
FANCM
FAS
FAT1
FAT3
FBXO11
fbxw2
FBXW7
FGF1
FGF10
FGF12
FGF14
FGF19
FGF2
FGF23
FGF3
FGF4
FGF5
FGF6
FGF7
FGF8
FGF9
FGFR1
FGFR2
FGFR3
FGFR4
FH
FLCN
FLI1
FLT1
FLT3
FLT4
FOXA1
FOXL2
FOXO1
FOXP1
FRS2
FUBP1
fus
FYN
G6PC3
GABRA6
GALNT12
GATA1
GATA2
GATA3
GATA4
GATA6
GEN1
GFI1
GFI1B
GID4
GLI1
GLI2
GNA11
GNA13
gnai2
GNAQ
GNAS
gnb1
GPC3
GPR124
GPS2
GREM1
GRIN2A
GRM3
GSK3B
GSKIP
H2Ax
H3F3A
H3F3B
H3F3C
HAX1
HDAC1
HDAC2
HDAC4
HDAC6
HGF
HIF1A
HIST1H1C
hist1h1e
HIST1H2BD
HIST1H3A
HIST1H3B
HIST1H3C
HIST1H3D
HIST1H3E
HIST1H3F
HIST1H3G
HIST1H3H
HIST1H3I
HIST1H3J
HIST2H3A
HIST2H3C
HIST2H3D
HIST3H3
HLA-A
HLA-B
HLA-C
HLA-DRB1
hmga2
HNF1A
HNRNPK
HOXA11
HOXA9
HOXB13
HRAS
HSD3B1
HSP90AA1
HSP90AB1
ICOSLG
ID3
IDH1
IDH2
IFNGR1
IGF1
IGF1R
IGF2
IGF2R
ikbkb
IKBKE
IKZF1
IKZF2
ikzf3
IL10
IL2RG
IL7R
INHA
INHBA
INPP4A
INPP4B
INSR
irak4
IRF2
IRF4
IRF8
IRS1
IRS2
ITK
itpkb
JAGN1
JAK1
JAK2
JAK3
JAZF1
JUN
KAT6A
KDM5A
KDM5C
KDM6A
KDR
KEAP1
KEL
KIF1B
KIF23
KIF5B
KIT
KLF1
klf2
KLF4
KLHL6
KLLN
KMT2A
KMT2B
KMT2C
KMT2D
KRAS
LAMP1
LATS1
